date,sol_closing_price_usd
2025-06-02,156.91
2025-06-03,155.3
2025-06-04,153.31
2025-06-05,144.38
2025-06-06,147.95
2025-06-07,150.16
2025-06-08,152.53
2025-06-09,161.23
2025-06-10,165.14
2025-06-11,161.02
2025-06-12,152.41
2025-06-13,148.66
2025-06-14,144.72
2025-06-15,152.98
2025-06-16,150.74
2025-06-17,147.61
2025-06-18,146.41
2025-06-19,147.06
2025-06-20,140.15
2025-06-21,135.47
2025-06-22,131.78
2025-06-23,144.6
2025-06-24,145.98
2025-06-25,143.65
2025-06-26,139.15
2025-06-27,142.17
2025-06-28,150.81
2025-06-29,153.36
2025-06-30,154.88
2025-07-01,146.93
2025-07-02,152.35
2025-07-03,152.4
2025-07-04,147.75
2025-07-05,147.62
2025-07-06,151.91
2025-07-07,148.91
2025-07-08,151.73
2025-07-09,157.11
2025-07-10,164.34
2025-07-11,162.98
2025-07-12,160.76
2025-07-13,161.22
2025-07-14,162.26
2025-07-15,164.03
2025-07-16,173.73
2025-07-17,176
2025-07-18,177.36
2025-07-19,177.05
2025-07-20,181.54
2025-07-21,195.82
2025-07-22,205.8
2025-07-23,189.5
2025-07-24,182.97
2025-07-25,186.8
2025-07-26,184.92
2025-07-27,188.71
2025-07-28,183.13
2025-07-29,181.47
2025-07-30,177.77
2025-07-31,172.22
2025-08-01,162.67
2025-08-02,158.48
2025-08-03,162.01
2025-08-04,169.57
2025-08-05,164.07
2025-08-06,168.16
2025-08-07,175.44
2025-08-08,176.83
2025-08-09,179.99
2025-08-10,182.73
2025-08-11,174.88
2025-08-12,191.72
2025-08-13,201.62
2025-08-14,192.61
2025-08-15,185.89
2025-08-16,189.74
2025-08-17,191.15
2025-08-18,183
2025-08-19,176.21
2025-08-20,187.97
2025-08-21,180.28
2025-08-22,200.64
2025-08-23,204.07
2025-08-24,205.96
2025-08-25,187.22
2025-08-26,195.88
2025-08-27,202.94
2025-08-28,214.45
2025-08-29,205.13
2025-08-30,202.74
2025-08-31,200.67
2025-09-01,197.32
2025-09-02,209.63
2025-09-03,210.83
2025-09-04,202.34
2025-09-05,203.39
2025-09-06,200.19
2025-09-07,206.36
2025-09-08,214.14
2025-09-09,217.24
2025-09-10,224.13
2025-09-11,228.85
2025-09-12,242.36
2025-09-13,242.49
2025-09-14,239.89
2025-09-15,234.39
2025-09-16,237
2025-09-17,244.92
2025-09-18,247.6
2025-09-19,238.66
2025-09-20,239.6
2025-09-21,236.32
2025-09-22,220.56
2025-09-23,213.34
2025-09-24,211.69
2025-09-25,192.83
2025-09-26,205.28
2025-09-27,203.58
2025-09-28,210.92
2025-09-29,212.91
2025-09-30,208.75
2025-10-01,222.16
2025-10-02,234.9
2025-10-03,232.96
2025-10-04,227.99
2025-10-05,228.67
2025-10-06,232.47
2025-10-07,220.1
2025-10-08,229.12
2025-10-09,221.03
2025-10-10,188.9
2025-10-11,177.84
2025-10-12,197.23
2025-10-13,208.87
2025-10-14,202.55
2025-10-15,193.95
2025-10-16,184.87
2025-10-17,182.05
2025-10-18,187.65
2025-10-19,187.95
2025-10-20,189.78
2025-10-21,185.73
2025-10-22,180.16
2025-10-23,191.42
2025-10-24,193.62
2025-10-25,193.88
2025-10-26,200.07
2025-10-27,198.71
2025-10-28,194.23
2025-10-29,193.98
2025-10-30,184.69
2025-10-31,187.16
2025-11-01,186.3
2025-11-02,187.76
2025-11-03,166.05
2025-11-04,155.03
2025-11-05,162.38
2025-11-06,155.22
2025-11-07,161.72
2025-11-08,157.98
2025-11-09,164.52
2025-11-10,167.3
2025-11-11,154.55
2025-11-12,153.37
2025-11-13,144.69
2025-11-14,138.8
2025-11-15,139.54
2025-11-16,137.08
2025-11-17,130.84
2025-11-18,140.64
2025-11-19,136.93
2025-11-20,133.51
2025-11-21,128.59
2025-11-22,127.53
2025-11-23,130.55
2025-11-24,138.41
2025-11-25,138.91
2025-11-26,143.02
2025-11-27,140.85
2025-11-28,137.37
2025-11-29,135.96
2025-11-30,133.49
2025-12-01,126.67
2025-12-02,138.7
2025-12-03,144.72
2025-12-04,139.06
2025-12-05,133.33
2025-12-06,132.24
2025-12-07,132.29
2025-12-08,133.27
2025-12-09,137.9
2025-12-10,136.32
2025-12-11,136.43
2025-12-12,132.29
2025-12-13,133.17
2025-12-14,129.4
2025-12-15,127.79
2025-12-16,129.14
2025-12-17,123.21
2025-12-18,119.54
2025-12-19,126.2
2025-12-20,125.77
2025-12-21,126
2025-12-22,125.84
2025-12-23,123.93
2025-12-24,121.6
