date,eth_closing_price_usd
2025-06-08,2510.78
2025-06-09,2681.27
2025-06-10,2816.15
2025-06-11,2772.57
2025-06-12,2644.51
2025-06-13,2580.25
2025-06-14,2532.75
2025-06-15,2548.41
2025-06-16,2545.23
2025-06-17,2510.96
2025-06-18,2525.85
2025-06-19,2521.84
2025-06-20,2407.22
2025-06-21,2296.94
2025-06-22,2228.57
2025-06-23,2413.17
2025-06-24,2449.69
2025-06-25,2420.23
2025-06-26,2417.5
2025-06-27,2424.42
2025-06-28,2437.55
2025-06-29,2501.26
2025-06-30,2486.37
2025-07-01,2405.7
2025-07-02,2571.33
2025-07-03,2592.04
2025-07-04,2508.69
2025-07-05,2517.09
2025-07-06,2571.14
2025-07-07,2542.5
2025-07-08,2616.29
2025-07-09,2769.99
2025-07-10,2951.31
2025-07-11,2959.03
2025-07-12,2944.27
2025-07-13,2973.01
2025-07-14,3014.66
2025-07-15,3139.33
2025-07-16,3373.1
2025-07-17,3479.48
2025-07-18,3549.56
2025-07-19,3594.34
2025-07-20,3758.64
2025-07-21,3764.26
2025-07-22,3748.64
2025-07-23,3630.21
2025-07-24,3708.76
2025-07-25,3726.01
2025-07-26,3742.79
2025-07-27,3874.12
2025-07-28,3798.95
2025-07-29,3793.46
2025-07-30,3810.29
2025-07-31,3698.19
2025-08-01,3487.02
2025-08-02,3393.4
2025-08-03,3497.6
2025-08-04,3720.93
2025-08-05,3611.81
2025-08-06,3684.11
2025-08-07,3911.67
2025-08-08,4010.54
2025-08-09,4262.92
2025-08-10,4252.23
2025-08-11,4224.95
2025-08-12,4589.8
2025-08-13,4751.85
2025-08-14,4550.57
2025-08-15,4443.12
2025-08-16,4425.22
2025-08-17,4475.46
2025-08-18,4315.29
2025-08-19,4075.7
2025-08-20,4336.33
2025-08-21,4224.96
2025-08-22,4830.6
2025-08-23,4777.18
2025-08-24,4780
2025-08-25,4377.67
2025-08-26,4601.95
2025-08-27,4507.43
2025-08-28,4512.13
2025-08-29,4360.69
2025-08-30,4374.94
2025-08-31,4392.43
2025-09-01,4314.85
2025-09-02,4326.52
2025-09-03,4452.33
2025-09-04,4298.54
2025-09-05,4307.57
2025-09-06,4274.53
2025-09-07,4306.18
2025-09-08,4306.62
2025-09-09,4310.1
2025-09-10,4350.1
2025-09-11,4461.11
2025-09-12,4715.14
2025-09-13,4669.05
2025-09-14,4606.66
2025-09-15,4525.27
2025-09-16,4503.26
2025-09-17,4592.35
2025-09-18,4589.64
2025-09-19,4471.56
2025-09-20,4482.83
2025-09-21,4447.53
2025-09-22,4202.86
2025-09-23,4165.7
2025-09-24,4154.6
2025-09-25,3876.07
2025-09-26,4034.83
2025-09-27,4020.82
2025-09-28,4143.89
2025-09-29,4218.07
2025-09-30,4146.38
2025-10-01,4350.53
2025-10-02,4487.89
2025-10-03,4516
2025-10-04,4489.84
2025-10-05,4515.92
2025-10-06,4686.54
2025-10-07,4449.96
2025-10-08,4527.74
2025-10-09,4370.91
2025-10-10,3837.92
2025-10-11,3750.88
2025-10-12,4156.86
2025-10-13,4245.01
2025-10-14,4127.37
2025-10-15,3988.16
2025-10-16,3895.41
2025-10-17,3833.18
2025-10-18,3890.7
2025-10-19,3984.9
2025-10-20,3981.1
2025-10-21,3875.11
2025-10-22,3806.62
2025-10-23,3858.38
2025-10-24,3936.24
2025-10-25,3954.72
2025-10-26,4160.2
2025-10-27,4121.47
2025-10-28,3981.51
2025-10-29,3904.34
2025-10-30,3804.35
2025-10-31,3846.74
2025-11-01,3872.94
2025-11-02,3906.69
2025-11-03,3603.83
2025-11-04,3286.89
2025-11-05,3424.12
2025-11-06,3313.99
2025-11-07,3434.31
2025-11-08,3400.93
2025-11-09,3583.12
2025-11-10,3566.73
2025-11-11,3416.51
2025-11-12,3414.45
2025-11-13,3230.03
2025-11-14,3110.38
2025-11-15,3166.61
2025-11-16,3093.43
2025-11-17,3028.29
2025-11-18,3122.36
2025-11-19,3023.23
2025-11-20,2830.93
2025-11-21,2764.76
2025-11-22,2768.91
2025-11-23,2801.51
2025-11-24,2953.06
2025-11-25,2958.83
2025-11-26,3026.9
2025-11-27,3015.29
2025-11-28,3032.2
2025-11-29,2990.56
2025-11-30,2992.33
2025-12-01,2799.09
2025-12-02,2997.13
2025-12-03,3189.79
2025-12-04,3134.24
2025-12-05,3022.97
2025-12-06,3039.34
2025-12-07,3060.97
2025-12-08,3124.9
2025-12-09,3319.05
2025-12-10,3325.03
2025-12-11,3238
2025-12-12,3084.93
2025-12-13,3115.34
2025-12-14,3063.14
2025-12-15,2964.4
2025-12-16,2962.09
2025-12-17,2832.59
2025-12-18,2826.97
2025-12-19,2978.23
2025-12-20,2977.06
2025-12-21,3001.6
2025-12-22,3007.85
2025-12-23,2963.44
2025-12-24,2945.71
2025-12-25,2902.63
2025-12-26,2926.05
2025-12-27,2947.05
2025-12-28,2949.22
2025-12-29,2914.92
